Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Canada,2000,Female",81.55
Life expectancy at birth (years),"Central African Republic,2015,Both sexes",50.53
Life expectancy at birth (years),"Central African Republic,2015,Male",48.19
Life expectancy at birth (years),"Central African Republic,2015,Female",53.03
Life expectancy at birth (years),"Central African Republic,2010,Both sexes",48.51
Life expectancy at birth (years),"Central African Republic,2010,Male",46.69
Life expectancy at birth (years),"Central African Republic,2010,Female",50.44
Life expectancy at birth (years),"Central African Republic,2000,Both sexes",44.34
Life expectancy at birth (years),"Central African Republic,2000,Male",43.24
Life expectancy at birth (years),"Central African Republic,2000,Female",45.52
Life expectancy at birth (years),"Chad,2015,Both sexes",57.91
Life expectancy at birth (years),"Chad,2015,Male",56.22
Life expectancy at birth (years),"Chad,2015,Female",59.63
Life expectancy at birth (years),"Chad,2010,Both sexes",55.65
Life expectancy at birth (years),"Chad,2010,Male",53.93
Life expectancy at birth (years),"Chad,2010,Female",57.43
Life expectancy at birth (years),"Chad,2000,Both sexes",51.08
Life expectancy at birth (years),"Chad,2000,Male",49.26
Life expectancy at birth (years),"Chad,2000,Female",52.98
Life expectancy at birth (years),"Chile,2015,Both sexes",79.82
Life expectancy at birth (years),"Chile,2015,Male",76.98
Life expectancy at birth (years),"Chile,2015,Female",82.51
Life expectancy at birth (years),"Chile,2010,Both sexes",78.46
Life expectancy at birth (years),"Chile,2010,Male",75.48
Life expectancy at birth (years),"Chile,2010,Female",81.3
Life expectancy at birth (years),"Chile,2000,Both sexes",76.77
Life expectancy at birth (years),"Chile,2000,Male",73.64
Life expectancy at birth (years),"Chile,2000,Female",79.77
Life expectancy at birth (years),"China,2015,Both sexes",76.64
Life expectancy at birth (years),"China,2015,Male",73.85
Life expectancy at birth (years),"China,2015,Female",79.87
Life expectancy at birth (years),"China,2010,Both sexes",74.89
Life expectancy at birth (years),"China,2010,Male",72.26
Life expectancy at birth (years),"China,2010,Female",77.94
Life expectancy at birth (years),"China,2000,Both sexes",71.58
Life expectancy at birth (years),"China,2000,Male",69.34
Life expectancy at birth (years),"China,2000,Female",74.15
Life expectancy at birth (years),"Colombia,2015,Both sexes",78.35
Life expectancy at birth (years),"Colombia,2015,Male",75.63
Life expectancy at birth (years),"Colombia,2015,Female",81.01
Life expectancy at birth (years),"Colombia,2010,Both sexes",77.09
Life expectancy at birth (years),"Colombia,2010,Male",74
Life expectancy at birth (years),"Colombia,2010,Female",80.15
Life expectancy at birth (years),"Colombia,2000,Both sexes",73.75
Life expectancy at birth (years),"Colombia,2000,Male",69.71
Life expectancy at birth (years),"Colombia,2000,Female",77.85
Life expectancy at birth (years),"Comoros,2015,Both sexes",66.45
Life expectancy at birth (years),"Comoros,2015,Male",65.07
Life expectancy at birth (years),"Comoros,2015,Female",67.84
Life expectancy at birth (years),"Comoros,2010,Both sexes",64.98
Life expectancy at birth (years),"Comoros,2010,Male",63.6
Life expectancy at birth (years),"Comoros,2010,Female",66.35
Life expectancy at birth (years),"Comoros,2000,Both sexes",61.51
Life expectancy at birth (years),"Comoros,2000,Male",60.15
Life expectancy at birth (years),"Comoros,2000,Female",62.86
Life expectancy at birth (years),"Congo,2015,Both sexes",63.11
Life expectancy at birth (years),"Congo,2015,Male",62.56
Life expectancy at birth (years),"Congo,2015,Female",63.59
Life expectancy at birth (years),"Congo,2010,Both sexes",60.95
Life expectancy at birth (years),"Congo,2010,Male",60.99
Life expectancy at birth (years),"Congo,2010,Female",60.85
Life expectancy at birth (years),"Congo,2000,Both sexes",52.12
Life expectancy at birth (years),"Congo,2000,Male",51.54
Life expectancy at birth (years),"Congo,2000,Female",52.58
Life expectancy at birth (years),"Costa Rica,2015,Both sexes",80.78
Life expectancy at birth (years),"Costa Rica,2015,Male",78.16
Life expectancy at birth (years),"Costa Rica,2015,Female",83.47
Life expectancy at birth (years),"Costa Rica,2010,Both sexes",79.56
Life expectancy at birth (years),"Costa Rica,2010,Male",76.98
Life expectancy at birth (years),"Costa Rica,2010,Female",82.22
Life expectancy at birth (years),"Costa Rica,2000,Both sexes",78
Life expectancy at birth (years),"Costa Rica,2000,Male",75.47
Life expectancy at birth (years),"Costa Rica,2000,Female",80.63
Life expectancy at birth (years),"Côte d’Ivoire,2015,Both sexes",60.2
Life expectancy at birth (years),"Côte d’Ivoire,2015,Male",57.98
Life expectancy at birth (years),"Côte d’Ivoire,2015,Female",62.96
Life expectancy at birth (years),"Côte d’Ivoire,2010,Both sexes",56.62
Life expectancy at birth (years),"Côte d’Ivoire,2010,Male",54.81
Life expectancy at birth (years),"Côte d’Ivoire,2010,Female",58.94
Life expectancy at birth (years),"Côte d’Ivoire,2000,Both sexes",50.33
Life expectancy at birth (years),"Côte d’Ivoire,2000,Male",48.94
Life expectancy at birth (years),"Côte d’Ivoire,2000,Female",52.31
Life expectancy at birth (years),"Croatia,2015,Both sexes",77.58
Life expectancy at birth (years),"Croatia,2015,Male",74.3
